Generation,Ranking,BOBs,Time for Generation,Time since Initiation
1,"[(56, 73), (74, 74), (96, 75), (27, 78), (6, 80), (59, 81), (91, 81), (5, 82), (28, 82), (81, 82), (10, 83), (25, 83), (20, 85), (53, 85), (87, 85), (92, 85), (72, 86), (94, 86), (31, 87), (57, 87), (70, 88), (90, 88), (35, 89), (37, 89), (54, 89), (64, 89), (83, 89), (30, 91), (39, 91), (69, 91), (13, 92), (51, 92), (65, 92), (14, 93), (24, 93), (55, 93), (68, 93), (71, 93), (34, 94), (32, 95), (36, 95), (49, 95), (67, 95), (97, 95), (11, 96), (22, 96), (44, 96), (48, 96), (52, 96), (88, 96), (1, 97), (3, 97), (42, 97), (95, 97), (99, 97), (8, 98), (23, 98), (33, 98), (43, 98), (58, 98), (41, 99), (85, 99), (15, 100), (19, 100), (21, 100), (66, 100), (73, 100), (80, 100), (4, 101), (86, 101), (45, 102), (50, 102), (62, 102), (75, 102), (77, 102), (26, 103), (40, 103), (9, 105), (29, 105), (46, 105), (76, 105), (60, 106), (89, 106), (79, 107), (82, 107), (17, 108), (47, 108), (63, 108), (0, 109), (7, 109), (16, 109), (84, 109), (12, 111), (98, 111), (78, 112), (18, 114), (61, 116), (93, 116), (2, 122), (38, 128)]","[56, 74, 96, 27, 6, 59, 91, 5, 28, 81, 10, 25, 20, 53, 87, 92, 72, 94, 31, 57]",2.6439597606658936,2.6439597606658936
2,"[(0, 73), (1, 74), (2, 75), (3, 75), (4, 80), (5, 81), (6, 81), (8, 82), (9, 82), (11, 83), (7, 85), (13, 85), (14, 85), (15, 85), (10, 86), (16, 86), (17, 86), (18, 87), (19, 87), (12, 88), (72, 97), (37, 99), (67, 101), (34, 102), (81, 102), (22, 103), (99, 103), (30, 104), (65, 104), (88, 105), (49, 106), (55, 106), (86, 106), (58, 107), (75, 108), (21, 109), (29, 109), (43, 109), (59, 109), (44, 110), (74, 110), (90, 110), (23, 111), (45, 111), (62, 111), (85, 111), (91, 111), (47, 112), (71, 112), (25, 113), (40, 114), (52, 114), (26, 115), (31, 115), (54, 115), (60, 115), (36, 116), (39, 117), (57, 117), (83, 117), (38, 118), (42, 118), (48, 118), (96, 119), (89, 120), (50, 121), (68, 121), (27, 122), (33, 122), (53, 122), (56, 122), (64, 122), (61, 123), (94, 123), (76, 124), (32, 125), (69, 125), (97, 125), (46, 126), (80, 126), (20, 127), (82, 127), (98, 127), (70, 128), (73, 128), (79, 129), (84, 129), (93, 129), (41, 130), (77, 131), (95, 132), (51, 133), (24, 134), (28, 134), (63, 134), (35, 135), (92, 136), (66, 139), (78, 141), (87, 142)]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 11, 7, 13, 14, 15, 10, 16, 17, 18, 19, 12]",2.0484886169433594,4.692448377609253
3,"[(0, 73), (1, 74), (2, 75), (3, 75), (4, 80), (5, 80), (6, 81), (8, 82), (9, 83), (10, 85), (11, 85), (12, 85), (13, 85), (14, 86), (15, 86), (16, 86), (7, 87), (17, 87), (18, 87), (19, 88), (89, 97), (96, 99), (68, 103), (86, 103), (26, 104), (47, 104), (58, 104), (34, 106), (40, 106), (41, 106), (65, 107), (85, 109), (22, 110), (46, 110), (91, 110), (95, 110), (83, 111), (20, 112), (32, 112), (50, 112), (82, 112), (36, 114), (38, 114), (42, 116), (71, 116), (99, 116), (31, 117), (51, 117), (60, 117), (63, 117), (64, 117), (79, 117), (43, 118), (53, 118), (55, 119), (77, 119), (35, 120), (39, 120), (67, 120), (75, 120), (76, 120), (92, 120), (98, 120), (25, 121), (66, 121), (84, 121), (24, 122), (48, 122), (69, 122), (80, 122), (97, 122), (57, 123), (59, 123), (30, 124), (56, 124), (94, 124), (72, 126), (87, 126), (37, 127), (52, 127), (23, 128), (29, 129), (54, 129), (88, 129), (44, 130), (90, 130), (70, 131), (81, 133), (21, 134), (28, 134), (33, 134), (45, 134), (74, 134), (49, 136), (78, 136), (93, 136), (27, 138), (61, 140), (73, 140), (62, 157)]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 7, 17, 18, 19]",2.0844533443450928,6.7778990268707275
4,"[(1, 70), (0, 75), (2, 75), (3, 75), (5, 82), (4, 83), (8, 83), (6, 84), (9, 85), (10, 85), (11, 85), (12, 85), (7, 86), (13, 86), (14, 86), (15, 86), (17, 86), (16, 87), (18, 87), (19, 88), (79, 97), (96, 98), (37, 99), (80, 101), (94, 101), (74, 102), (32, 103), (49, 103), (54, 103), (82, 105), (86, 105), (66, 106), (70, 106), (76, 106), (46, 107), (97, 107), (52, 108), (68, 108), (84, 108), (87, 108), (92, 108), (20, 109), (23, 109), (39, 109), (65, 109), (25, 110), (88, 110), (45, 111), (47, 111), (55, 111), (61, 111), (99, 111), (26, 112), (30, 112), (51, 112), (40, 113), (71, 114), (89, 114), (22, 115), (28, 115), (59, 116), (35, 117), (78, 117), (95, 117), (56, 118), (43, 120), (69, 120), (83, 120), (90, 120), (60, 122), (72, 122), (75, 122), (33, 123), (41, 123), (50, 123), (58, 123), (85, 123), (34, 124), (62, 124), (27, 125), (29, 125), (53, 126), (77, 126), (98, 126), (31, 127), (63, 127), (67, 127), (64, 128), (81, 128), (93, 128), (38, 130), (42, 130), (36, 131), (24, 133), (48, 133), (91, 133), (44, 134), (57, 134), (73, 136), (21, 137)]","[1, 0, 2, 3, 5, 4, 8, 6, 9, 10, 11, 12, 7, 13, 14, 15, 17, 16, 18, 19]",1.9956729412078857,8.774569034576416
5,"[(0, 71), (1, 75), (2, 75), (3, 75), (4, 82), (5, 83), (6, 83), (7, 84), (18, 84), (8, 85), (10, 85), (11, 85), (12, 86), (13, 86), (14, 86), (15, 86), (16, 86), (40, 86), (9, 87), (17, 87), (19, 88), (32, 93), (21, 99), (23, 102), (39, 102), (72, 103), (44, 104), (82, 105), (24, 106), (34, 107), (90, 107), (84, 108), (30, 109), (41, 109), (92, 109), (81, 110), (91, 110), (99, 110), (37, 111), (45, 111), (53, 111), (74, 111), (77, 111), (25, 112), (27, 112), (98, 112), (33, 113), (36, 113), (89, 113), (96, 114), (31, 115), (54, 115), (65, 115), (73, 116), (85, 116), (87, 117), (94, 117), (57, 118), (71, 119), (58, 120), (60, 120), (46, 121), (66, 121), (42, 122), (49, 122), (63, 122), (64, 122), (50, 123), (56, 123), (79, 123), (38, 124), (20, 125), (62, 125), (93, 125), (52, 126), (67, 126), (69, 126), (22, 127), (80, 127), (51, 128), (70, 128), (78, 128), (95, 128), (97, 128), (83, 129), (47, 132), (68, 132), (43, 133), (86, 133), (29, 134), (48, 134), (61, 134), (75, 134), (76, 136), (88, 136), (35, 137), (59, 138), (28, 141), (55, 143), (26, 144)]","[0, 1, 2, 3, 4, 5, 6, 7, 18, 8, 10, 11, 12, 13, 14, 15, 16, 40, 9, 17]",2.137272357940674,10.91184139251709
6,"[(0, 74), (2, 75), (3, 75), (1, 79), (4, 82), (5, 83), (37, 83), (9, 85), (12, 86), (13, 86), (14, 86), (15, 86), (16, 86), (17, 86), (18, 86), (22, 86), (19, 87), (6, 88), (10, 88), (11, 88), (7, 89), (8, 89), (36, 99), (58, 101), (34, 102), (23, 103), (28, 104), (71, 104), (95, 104), (43, 106), (35, 107), (51, 107), (52, 108), (59, 109), (31, 110), (38, 110), (61, 110), (87, 110), (44, 111), (60, 111), (98, 111), (45, 112), (47, 112), (32, 113), (78, 113), (81, 113), (40, 114), (63, 114), (83, 114), (89, 114), (97, 114), (21, 115), (30, 115), (46, 116), (72, 116), (26, 117), (29, 117), (39, 117), (67, 117), (93, 117), (20, 118), (42, 118), (64, 118), (75, 119), (85, 119), (56, 120), (57, 120), (74, 120), (91, 120), (92, 120), (54, 121), (82, 121), (27, 123), (76, 123), (68, 124), (94, 124), (24, 125), (50, 126), (65, 126), (73, 126), (79, 126), (99, 127), (48, 128), (70, 128), (33, 129), (66, 129), (88, 130), (90, 130), (86, 131), (53, 132), (69, 132), (77, 132), (25, 133), (41, 133), (49, 134), (55, 134), (62, 134), (80, 136), (84, 137), (96, 157)]","[0, 2, 3, 1, 4, 5, 37, 9, 12, 13, 14, 15, 16, 17, 18, 22, 19, 6, 10, 11]",2.0445470809936523,12.956388473510742
7,"[(0, 74), (1, 75), (2, 75), (3, 79), (4, 82), (5, 83), (6, 83), (60, 83), (72, 83), (7, 85), (13, 85), (8, 86), (9, 86), (10, 86), (11, 86), (12, 86), (14, 86), (15, 86), (19, 86), (25, 86), (16, 87), (18, 87), (17, 88), (46, 99), (66, 99), (30, 102), (70, 102), (89, 104), (95, 106), (96, 106), (49, 107), (88, 107), (68, 109), (80, 110), (85, 110), (38, 111), (47, 111), (84, 111), (99, 111), (94, 112), (20, 113), (21, 113), (22, 113), (42, 114), (45, 114), (23, 115), (28, 115), (50, 115), (53, 115), (58, 115), (32, 116), (34, 116), (59, 116), (62, 116), (81, 116), (97, 116), (78, 117), (39, 118), (43, 118), (64, 118), (67, 118), (77, 118), (83, 118), (98, 118), (24, 119), (41, 119), (71, 119), (52, 120), (61, 120), (63, 120), (29, 121), (92, 121), (31, 122), (40, 122), (48, 122), (75, 122), (86, 122), (26, 124), (54, 124), (65, 124), (33, 125), (27, 126), (57, 127), (44, 128), (82, 128), (90, 128), (36, 130), (37, 133), (51, 133), (56, 134), (74, 134), (79, 135), (76, 136), (87, 136), (35, 137), (91, 137), (55, 138), (73, 138), (93, 138), (69, 145)]","[0, 1, 2, 3, 4, 5, 6, 60, 72, 7, 13, 8, 9, 10, 11, 12, 14, 15, 19, 25]",2.007617950439453,14.964006423950195
8,"[(0, 74), (1, 75), (3, 79), (8, 81), (4, 82), (12, 82), (2, 83), (5, 83), (6, 83), (7, 83), (32, 83), (38, 83), (52, 83), (78, 83), (85, 83), (99, 83), (55, 84), (74, 84), (83, 84), (9, 85), (10, 85), (11, 86), (13, 86), (14, 86), (15, 86), (17, 86), (19, 86), (47, 86), (76, 86), (91, 86), (16, 87), (18, 88), (29, 89), (59, 93), (30, 99), (82, 99), (90, 99), (97, 99), (20, 100), (77, 103), (28, 107), (46, 107), (84, 107), (96, 107), (24, 108), (92, 108), (80, 109), (87, 109), (50, 110), (21, 111), (27, 111), (41, 111), (64, 111), (37, 112), (56, 113), (62, 113), (89, 113), (34, 114), (63, 115), (70, 115), (23, 116), (25, 116), (65, 116), (79, 116), (40, 117), (54, 117), (98, 117), (26, 118), (39, 118), (45, 118), (58, 119), (68, 119), (43, 120), (75, 120), (73, 121), (93, 121), (36, 122), (60, 122), (86, 122), (95, 122), (81, 123), (94, 123), (88, 125), (53, 126), (51, 127), (61, 127), (72, 127), (31, 128), (48, 128), (71, 128), (42, 129), (44, 130), (49, 130), (66, 130), (69, 130), (35, 131), (22, 134), (33, 134), (57, 136), (67, 144)]","[0, 1, 3, 8, 4, 12, 2, 5, 6, 7, 32, 38, 52, 78, 85, 99, 55, 74, 83, 9]",1.9736895561218262,16.93769598007202
9,"[(0, 74), (1, 75), (2, 79), (3, 80), (21, 81), (4, 82), (5, 82), (36, 82), (6, 83), (7, 83), (9, 83), (10, 83), (11, 83), (13, 83), (14, 83), (15, 83), (20, 83), (24, 83), (25, 83), (35, 83), (38, 83), (41, 83), (43, 83), (45, 83), (50, 83), (51, 83), (65, 83), (67, 83), (68, 83), (76, 83), (77, 83), (83, 83), (85, 83), (87, 83), (89, 83), (96, 83), (98, 83), (16, 84), (17, 84), (18, 84), (33, 84), (40, 84), (44, 84), (53, 84), (55, 84), (56, 84), (57, 84), (58, 84), (60, 84), (66, 84), (88, 84), (19, 85), (78, 85), (80, 85), (90, 85), (8, 86), (12, 86), (39, 86), (48, 86), (62, 86), (75, 86), (95, 86), (79, 87), (86, 87), (94, 91), (99, 91), (64, 102), (29, 107), (49, 107), (27, 108), (72, 108), (26, 111), (31, 111), (34, 111), (59, 111), (46, 112), (61, 112), (52, 113), (84, 113), (93, 113), (54, 117), (82, 117), (42, 118), (97, 118), (23, 119), (91, 119), (81, 120), (28, 121), (32, 121), (70, 126), (74, 127), (30, 128), (63, 128), (73, 128), (71, 129), (22, 130), (37, 130), (69, 130), (92, 134), (47, 151)]","[0, 1, 2, 3, 21, 4, 5, 36, 6, 7, 9, 10, 11, 13, 14, 15, 20, 24, 25, 35]",1.969764232635498,18.908456802368164
10,"[(0, 74), (1, 75), (10, 76), (97, 79), (2, 80), (3, 80), (4, 81), (5, 82), (6, 82), (7, 82), (32, 82), (44, 82), (9, 83), (11, 83), (14, 83), (15, 83), (16, 83), (17, 83), (19, 83), (22, 83), (24, 83), (25, 83), (28, 83), (30, 83), (33, 83), (35, 83), (37, 83), (39, 83), (42, 83), (46, 83), (49, 83), (53, 83), (54, 83), (57, 83), (59, 83), (61, 83), (63, 83), (67, 83), (73, 83), (74, 83), (75, 83), (80, 83), (81, 83), (82, 83), (83, 83), (84, 83), (86, 83), (88, 83), (96, 83), (13, 84), (68, 84), (27, 85), (23, 86), (36, 86), (38, 86), (47, 86), (55, 86), (56, 86), (77, 86), (90, 86), (91, 86), (95, 86), (8, 87), (18, 87), (12, 88), (48, 89), (64, 89), (41, 91), (50, 104), (71, 111), (21, 112), (40, 112), (72, 112), (76, 112), (20, 113), (31, 113), (66, 113), (45, 114), (94, 115), (78, 116), (52, 118), (70, 118), (93, 118), (62, 122), (26, 123), (60, 125), (92, 125), (79, 127), (29, 128), (65, 128), (89, 128), (43, 129), (69, 129), (99, 129), (98, 130), (51, 132), (87, 132), (34, 134), (58, 135), (85, 136)]","[0, 1, 10, 97, 2, 3, 4, 5, 6, 7, 32, 44, 9, 11, 14, 15, 16, 17, 19, 22]",2.1662380695343018,21.07565951347351
11,"[(0, 74), (1, 75), (2, 76), (3, 79), (22, 79), (5, 80), (31, 80), (43, 80), (6, 81), (26, 81), (52, 81), (96, 81), (7, 82), (8, 82), (9, 82), (10, 82), (11, 82), (20, 82), (29, 82), (30, 82), (37, 82), (46, 82), (97, 82), (4, 83), (12, 83), (14, 83), (15, 83), (16, 83), (18, 83), (19, 83), (21, 83), (32, 83), (34, 83), (42, 83), (45, 83), (47, 83), (49, 83), (53, 83), (55, 83), (58, 83), (59, 83), (61, 83), (63, 83), (73, 83), (75, 83), (90, 83), (95, 83), (36, 84), (51, 84), (64, 84), (28, 85), (68, 85), (77, 85), (13, 86), (23, 86), (25, 86), (65, 86), (78, 86), (80, 86), (84, 86), (89, 86), (17, 87), (57, 87), (35, 89), (81, 89), (41, 90), (87, 105), (94, 108), (85, 109), (50, 111), (88, 113), (66, 114), (92, 114), (27, 115), (60, 115), (82, 115), (69, 116), (74, 118), (83, 118), (70, 119), (67, 121), (38, 123), (39, 123), (40, 126), (62, 126), (72, 126), (99, 126), (24, 127), (76, 128), (86, 128), (33, 129), (44, 129), (91, 130), (93, 130), (98, 130), (71, 131), (56, 132), (79, 132), (48, 136), (54, 151)]","[0, 1, 2, 3, 22, 5, 31, 43, 6, 26, 52, 96, 7, 8, 9, 10, 11, 20, 29, 30]",1.9996418952941895,23.076297998428345
12,"[(0, 74), (1, 75), (3, 79), (4, 79), (22, 79), (45, 79), (73, 79), (78, 79), (6, 80), (7, 80), (13, 80), (29, 80), (63, 80), (67, 80), (89, 80), (91, 80), (94, 80), (95, 80), (2, 81), (8, 81), (9, 81), (10, 81), (11, 81), (17, 81), (30, 81), (36, 81), (37, 81), (38, 81), (39, 81), (41, 81), (47, 81), (48, 81), (49, 81), (56, 81), (81, 81), (84, 81), (92, 81), (98, 81), (12, 82), (14, 82), (15, 82), (16, 82), (20, 82), (21, 82), (24, 82), (25, 82), (34, 82), (51, 82), (58, 82), (59, 82), (64, 82), (68, 82), (79, 82), (82, 82), (83, 82), (90, 82), (46, 83), (5, 84), (33, 84), (72, 84), (88, 84), (97, 84), (19, 85), (23, 86), (31, 86), (35, 86), (50, 86), (57, 86), (18, 88), (61, 89), (27, 90), (80, 91), (44, 93), (93, 115), (54, 116), (26, 119), (62, 119), (69, 122), (71, 123), (77, 123), (40, 126), (53, 126), (75, 126), (85, 126), (96, 126), (99, 127), (52, 128), (70, 129), (74, 129), (87, 129), (42, 130), (65, 130), (60, 131), (86, 131), (28, 132), (43, 132), (55, 132), (66, 132), (76, 132), (32, 136)]","[0, 1, 3, 4, 22, 45, 73, 78, 6, 7, 13, 29, 63, 67, 89, 91, 94, 95, 2, 8]",1.9567623138427734,25.033060312271118
