Generation,Ranking,BOBs,Time for Generation,Time since Initiation
1,"[(79, 15), (53, 23), (70, 23), (97, 23), (40, 27), (67, 27), (93, 27), (37, 28), (45, 28), (46, 28), (63, 28), (73, 28), (98, 28), (10, 29), (18, 29), (50, 29), (95, 29), (6, 30), (16, 30), (60, 30), (86, 30), (96, 30), (51, 31), (55, 31), (56, 31), (59, 31), (81, 31), (8, 32), (23, 32), (26, 32), (27, 32), (72, 32), (99, 32), (7, 33), (30, 34), (85, 34), (20, 35), (69, 35), (62, 36), (92, 37), (44, 38), (33, 960), (32, 961), (91, 961), (84, 962), (3, 963), (13, 963), (22, 963), (36, 963), (57, 963), (74, 963), (80, 963), (2, 964), (4, 965), (15, 965), (17, 965), (29, 965), (89, 965), (35, 966), (49, 966), (68, 966), (76, 966), (82, 966), (90, 966), (58, 967), (61, 967), (94, 967), (12, 968), (14, 968), (52, 968), (64, 968), (1, 969), (5, 969), (28, 969), (47, 969), (71, 969), (87, 969), (66, 970), (9, 971), (11, 971), (43, 971), (41, 972), (78, 972), (0, 973), (31, 973), (34, 973), (38, 973), (39, 973), (54, 973), (65, 973), (19, 974), (24, 974), (48, 974), (42, 975), (77, 975), (75, 976), (83, 976), (21, 977), (25, 977), (88, 977)]","[79, 53, 70, 97, 40, 67, 93, 37, 45, 46, 63, 73, 98, 10, 18, 50, 95, 6, 16, 60]",3.694080352783203,3.694080352783203
2,"[(0, 15), (1, 23), (2, 23), (3, 25), (4, 27), (5, 27), (6, 27), (7, 28), (8, 28), (10, 28), (11, 28), (12, 28), (13, 29), (15, 29), (16, 29), (18, 30), (61, 959), (21, 963), (53, 964), (29, 965), (45, 965), (43, 966), (72, 966), (93, 966), (36, 967), (51, 967), (78, 967), (17, 968), (82, 968), (19, 969), (27, 969), (34, 969), (42, 969), (91, 969), (94, 969), (96, 969), (14, 970), (20, 970), (23, 970), (37, 970), (38, 970), (54, 970), (60, 970), (98, 970), (99, 970), (9, 971), (40, 971), (56, 971), (64, 971), (70, 971), (76, 971), (83, 971), (90, 971), (97, 971), (22, 972), (31, 972), (33, 972), (44, 972), (59, 972), (63, 972), (85, 972), (25, 973), (28, 973), (41, 973), (47, 973), (50, 973), (71, 973), (39, 974), (68, 974), (73, 974), (77, 974), (80, 974), (84, 974), (86, 974), (95, 974), (24, 975), (26, 975), (30, 975), (32, 975), (46, 975), (49, 975), (58, 975), (65, 975), (74, 976), (75, 976), (88, 976), (35, 977), (48, 977), (55, 977), (69, 977), (81, 977), (57, 978), (62, 978), (67, 978), (66, 979), (87, 980), (52, 981), (89, 981), (92, 982), (79, 984)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 18, 61, 21, 53, 29]",1.2348146438598633,4.929852247238159
3,"[(2, 23), (3, 25), (4, 27), (5, 27), (6, 27), (8, 28), (9, 28), (10, 28), (12, 29), (13, 29), (14, 29), (15, 30), (16, 959), (44, 959), (17, 963), (18, 964), (83, 964), (86, 964), (19, 965), (48, 965), (69, 965), (52, 966), (59, 966), (61, 966), (23, 967), (40, 967), (68, 967), (89, 967), (43, 968), (67, 968), (71, 968), (77, 968), (39, 969), (49, 969), (66, 969), (76, 969), (34, 970), (36, 970), (47, 970), (51, 970), (53, 970), (56, 970), (60, 970), (82, 970), (92, 970), (97, 970), (27, 971), (32, 971), (55, 971), (58, 971), (7, 972), (33, 972), (45, 972), (62, 972), (78, 972), (85, 972), (11, 973), (20, 973), (26, 973), (31, 973), (35, 973), (88, 973), (94, 973), (24, 974), (28, 974), (29, 974), (30, 974), (46, 974), (64, 974), (65, 974), (81, 974), (84, 974), (87, 974), (25, 975), (54, 975), (72, 975), (99, 975), (1, 976), (50, 976), (79, 976), (22, 977), (70, 977), (74, 977), (91, 977), (96, 977), (21, 978), (75, 978), (80, 978), (57, 979), (73, 979), (95, 979), (98, 979), (90, 981), (93, 983), (0, 984), (37, 984), (41, 984), (42, 984), (63, 984), (38, 986)]","[2, 3, 4, 5, 6, 8, 9, 10, 12, 13, 14, 15, 16, 44, 17, 18, 83, 86, 19, 48]",1.1352782249450684,6.06610631942749
4,"[(1, 25), (2, 27), (3, 27), (5, 28), (6, 28), (7, 28), (8, 29), (9, 29), (10, 29), (26, 29), (55, 30), (12, 959), (13, 959), (20, 959), (42, 959), (85, 959), (93, 959), (14, 963), (15, 964), (17, 964), (22, 964), (27, 964), (43, 964), (48, 964), (52, 964), (74, 964), (84, 964), (89, 964), (16, 965), (18, 965), (19, 965), (30, 965), (65, 965), (72, 965), (83, 965), (35, 966), (37, 966), (50, 966), (59, 966), (91, 966), (92, 966), (94, 966), (33, 967), (40, 967), (60, 967), (64, 967), (66, 967), (70, 967), (75, 967), (46, 968), (53, 968), (67, 968), (76, 968), (78, 968), (80, 968), (11, 969), (36, 969), (47, 969), (95, 969), (21, 970), (24, 970), (28, 970), (32, 970), (58, 970), (61, 970), (62, 970), (73, 970), (77, 970), (81, 970), (97, 970), (34, 971), (38, 971), (63, 971), (88, 971), (4, 972), (51, 972), (54, 972), (68, 972), (82, 972), (87, 972), (29, 973), (39, 973), (45, 973), (79, 973), (23, 974), (41, 974), (57, 974), (69, 974), (86, 974), (98, 974), (99, 974), (44, 975), (49, 975), (71, 975), (90, 975), (0, 976), (25, 977), (31, 978), (56, 979), (96, 981)]","[1, 2, 3, 5, 6, 7, 8, 9, 10, 26, 55, 12, 13, 20, 42, 85, 93, 14, 15, 17]",1.0903527736663818,7.157438039779663
5,"[(0, 25), (1, 27), (2, 27), (3, 28), (4, 28), (5, 28), (6, 29), (7, 29), (8, 29), (9, 29), (10, 30), (29, 30), (11, 958), (12, 959), (13, 959), (14, 959), (15, 959), (16, 959), (37, 959), (57, 959), (66, 959), (70, 959), (78, 959), (81, 959), (92, 959), (87, 960), (17, 963), (82, 963), (97, 963), (18, 964), (19, 964), (21, 964), (28, 964), (30, 964), (61, 964), (72, 964), (32, 965), (40, 965), (89, 965), (24, 966), (25, 966), (46, 966), (49, 966), (90, 966), (98, 966), (22, 967), (44, 967), (53, 967), (56, 967), (36, 968), (43, 968), (45, 968), (58, 968), (59, 968), (62, 968), (65, 968), (68, 968), (73, 968), (76, 968), (95, 968), (42, 969), (50, 969), (64, 969), (69, 969), (23, 970), (35, 970), (38, 970), (51, 970), (52, 970), (55, 970), (63, 970), (67, 970), (74, 970), (94, 970), (33, 971), (34, 971), (39, 971), (80, 971), (83, 971), (88, 971), (91, 971), (41, 972), (54, 972), (75, 972), (84, 972), (96, 972), (26, 973), (48, 973), (86, 973), (60, 974), (77, 974), (79, 974), (71, 975), (31, 977), (93, 977), (27, 978), (99, 978), (20, 979), (47, 979), (85, 979)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 29, 11, 12, 13, 14, 15, 16, 37, 57]",1.1073613166809082,8.264799356460571
6,"[(0, 25), (1, 27), (2, 27), (3, 28), (4, 28), (5, 28), (6, 29), (7, 29), (9, 29), (95, 29), (10, 30), (11, 30), (86, 957), (12, 958), (37, 958), (13, 959), (14, 959), (15, 959), (16, 959), (17, 959), (18, 959), (19, 959), (21, 959), (47, 959), (61, 959), (64, 959), (71, 959), (72, 959), (78, 959), (81, 959), (92, 959), (70, 963), (23, 964), (34, 964), (36, 964), (45, 964), (48, 964), (63, 964), (74, 964), (93, 964), (94, 964), (22, 965), (33, 965), (90, 965), (91, 965), (20, 966), (31, 966), (46, 966), (82, 966), (87, 966), (25, 967), (27, 967), (38, 967), (40, 967), (58, 967), (98, 967), (32, 968), (57, 968), (62, 968), (69, 968), (73, 968), (89, 968), (97, 968), (26, 969), (41, 969), (42, 969), (44, 969), (49, 969), (60, 969), (8, 970), (29, 970), (43, 970), (52, 970), (55, 970), (76, 970), (77, 970), (80, 970), (84, 970), (85, 970), (88, 970), (28, 971), (59, 971), (50, 972), (99, 972), (24, 973), (51, 973), (68, 973), (75, 973), (54, 974), (56, 974), (65, 974), (79, 974), (83, 974), (96, 974), (39, 976), (30, 977), (35, 977), (53, 978), (67, 978), (66, 979)]","[0, 1, 2, 3, 4, 5, 6, 7, 9, 95, 10, 11, 86, 12, 37, 13, 14, 15, 16, 17]",1.1019525527954102,9.367719650268555
7,"[(0, 25), (1, 27), (2, 27), (3, 28), (4, 28), (5, 28), (6, 29), (7, 29), (8, 29), (9, 29), (86, 29), (10, 30), (11, 30), (12, 957), (13, 958), (14, 958), (85, 958), (93, 958), (15, 959), (16, 959), (17, 959), (18, 959), (19, 959), (23, 959), (25, 959), (40, 959), (41, 959), (42, 959), (48, 959), (50, 959), (61, 959), (65, 959), (78, 959), (92, 959), (33, 963), (90, 963), (20, 964), (52, 964), (63, 964), (67, 964), (72, 964), (83, 964), (84, 964), (87, 964), (89, 964), (49, 965), (39, 966), (45, 966), (58, 966), (47, 967), (66, 967), (74, 967), (75, 967), (35, 968), (56, 968), (60, 968), (73, 968), (98, 968), (21, 969), (27, 969), (31, 969), (34, 969), (43, 969), (51, 969), (53, 969), (54, 969), (57, 969), (62, 969), (69, 969), (71, 969), (81, 969), (82, 969), (28, 970), (37, 970), (38, 970), (64, 970), (70, 970), (22, 971), (30, 971), (32, 971), (68, 972), (97, 972), (24, 973), (59, 973), (79, 973), (26, 974), (77, 974), (80, 974), (95, 974), (96, 974), (46, 977), (94, 977), (36, 978), (29, 979), (44, 979), (55, 979), (76, 979), (88, 979), (91, 979), (99, 979)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 86, 10, 11, 12, 13, 14, 85, 93, 15, 16]",1.148303747177124,10.5169997215271
8,"[(0, 25), (1, 27), (2, 27), (3, 28), (5, 28), (6, 29), (7, 29), (8, 29), (9, 29), (10, 29), (77, 29), (11, 30), (12, 30), (13, 957), (37, 957), (14, 958), (15, 958), (16, 958), (17, 958), (30, 958), (33, 958), (41, 958), (54, 958), (78, 958), (79, 958), (89, 958), (18, 959), (19, 959), (20, 959), (48, 959), (71, 959), (74, 959), (80, 959), (98, 959), (35, 963), (49, 963), (92, 963), (94, 963), (34, 964), (36, 964), (40, 964), (43, 964), (46, 964), (50, 964), (69, 964), (70, 964), (23, 966), (28, 966), (52, 966), (64, 966), (86, 966), (31, 967), (75, 967), (76, 967), (82, 967), (83, 967), (96, 967), (51, 968), (58, 968), (66, 968), (91, 968), (4, 969), (21, 969), (24, 969), (25, 969), (29, 969), (38, 969), (39, 969), (44, 969), (56, 969), (57, 969), (73, 969), (90, 969), (95, 969), (99, 969), (32, 970), (61, 970), (62, 970), (84, 970), (85, 970), (87, 970), (88, 970), (26, 971), (27, 971), (65, 971), (45, 972), (72, 973), (42, 974), (53, 974), (55, 974), (59, 974), (68, 974), (93, 974), (97, 975), (47, 976), (63, 977), (22, 979), (60, 979), (67, 979), (81, 979)]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 77, 11, 12, 13, 37, 14, 15, 16, 17, 30]",1.1449065208435059,11.661906242370605
9,"[(0, 25), (3, 28), (5, 29), (7, 29), (8, 29), (9, 29), (10, 29), (28, 29), (89, 29), (11, 30), (12, 30), (13, 957), (14, 957), (45, 957), (61, 957), (15, 958), (16, 958), (17, 958), (18, 958), (19, 958), (36, 958), (39, 958), (47, 958), (52, 958), (58, 958), (59, 958), (60, 958), (71, 958), (79, 958), (80, 958), (82, 963), (21, 964), (23, 964), (24, 964), (26, 964), (44, 964), (46, 964), (50, 964), (85, 965), (22, 966), (30, 966), (33, 966), (66, 966), (73, 966), (86, 966), (90, 966), (98, 966), (25, 967), (40, 967), (51, 967), (55, 967), (78, 967), (84, 967), (94, 967), (20, 968), (31, 969), (32, 969), (38, 969), (41, 969), (54, 969), (75, 969), (87, 969), (92, 969), (96, 969), (6, 970), (37, 970), (42, 970), (57, 970), (62, 970), (63, 970), (64, 970), (67, 970), (77, 970), (81, 970), (88, 970), (95, 970), (4, 971), (43, 971), (1, 972), (2, 972), (35, 973), (49, 973), (65, 974), (72, 974), (74, 974), (83, 974), (91, 974), (93, 974), (53, 975), (34, 976), (97, 976), (27, 977), (29, 979), (48, 979), (56, 979), (68, 979), (69, 979), (70, 979), (76, 979), (99, 979)]","[0, 3, 5, 7, 8, 9, 10, 28, 89, 11, 12, 13, 14, 45, 61, 15, 16, 17, 18, 19]",1.060734748840332,12.722640991210938
10,"[(1, 28), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (7, 29), (8, 29), (48, 29), (51, 29), (77, 29), (79, 29), (91, 29), (9, 30), (10, 30), (24, 30), (11, 957), (12, 957), (13, 957), (14, 957), (27, 957), (69, 957), (74, 957), (76, 957), (85, 957), (15, 958), (16, 958), (17, 958), (18, 958), (19, 958), (29, 958), (52, 958), (54, 958), (55, 958), (63, 958), (68, 958), (86, 958), (87, 958), (90, 958), (95, 958), (97, 958), (33, 964), (38, 964), (46, 964), (47, 964), (57, 964), (59, 964), (66, 964), (71, 964), (83, 964), (21, 965), (23, 965), (31, 965), (25, 966), (36, 966), (50, 966), (60, 966), (73, 966), (82, 966), (84, 966), (98, 966), (22, 967), (26, 967), (34, 967), (37, 967), (39, 967), (40, 967), (62, 967), (89, 967), (44, 968), (49, 968), (56, 968), (65, 968), (67, 968), (78, 968), (99, 968), (28, 969), (32, 969), (41, 969), (42, 969), (64, 969), (70, 969), (72, 969), (80, 969), (88, 969), (96, 969), (30, 970), (43, 970), (58, 970), (61, 970), (75, 970), (81, 971), (93, 971), (35, 974), (0, 976), (20, 979), (45, 979), (53, 979), (92, 979), (94, 979)]","[1, 2, 3, 4, 5, 6, 7, 8, 48, 51, 77, 79, 91, 9, 10, 24, 11, 12, 13, 14]",1.1567261219024658,13.879367113113403
